question,desired_answer,student_answer,score_me,score_other,score_avg,normalized_t5_score,predicted_score
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),The implementation phase and the maintenance phase are effected,3,5,4,0.6912511587,3.456255794
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",4,5,4.5,0.6649560928,3.324780464
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"In RUP the stages in the software life cycle are influenced by the testing stage is:  Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.  Construction phase- iterative development of remaining system.  Transition phase-testing and deployment of the system.",2,4,3,0.6868864894,3.434432447
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining the solution, Production and Maintenance are all influenced by the Testing stage. ",3,3,3,0.6139139533,3.069569767
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, Construction, and Transition are all affected by testing",2,2,2,0.6375586987,3.187793493
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining, Production, Maintenance",3,4,3.5,0.5361283422,2.680641711
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining the solution,3,5,4,0.4485607147,2.242803574
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),#NAME?,3,1,2,0.3181909621,1.59095481
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and Coding,5,5,5,0.5165390968,2.582695484
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The second half of the Elaboration phase, Construction phase, and the Transition phase. ",2,3,2.5,0.7351730466,3.675865233
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The refining step, the production step, and the maintenance stage.  ",3,4,3.5,0.6507236362,3.253618181
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, Construction, Transition",2,2,2,0.58751899,2.93759495
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining.,3,3,3,0.5004047751,2.502023876
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",2,1,1.5,0.6950296164,3.475148082
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.  Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle.",5,5,5,0.5703463554,2.851731777
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Testing, refining, production, and maintenance.",3,4,3.5,0.6107310057,3.053655028
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Depending on how the work is done, Testing is spread throughout the  process as to prevent errors from showing up later on due to lack of foresight. ",2,1,1.5,0.5375640392,2.687820196
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, construction, and transition.",2,3,2.5,0.6412006021,3.20600301
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"All stages are influenced except setting the program requirements.  If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome.",2,1,1.5,0.6261630654,3.130815327
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining, production, and maintenance",3,3,3,0.5840024352,2.920012176
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),coding and refining,5,5,5,0.5633990169,2.816995084
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"refining, production, maintenance.",3,4,3.5,0.6081135869,3.040567935
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Removing logical errors, testing for valid data, random data and actual data.",2,0,1,0.6415659785,3.207829893
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),1- specification 2- design 3- risk analysis 4- verification 5- coding 6- testing 7- refining 8- production 9- maintenance,1,4,2.5,0.6239722967,3.119861484
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining stage, Production stage, and Maintenance stage.  ",3,4,3.5,0.5852575898,2.926287949
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Testing could affect all parts of the life cycle; it could make you go back   to specification if it does not test well.,2,2,2,0.5693818927,2.846909463
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),coding,3,3,3,0.2184877694,1.092438847
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The Individual components and steps such as  analysis, design, and implementing code  as well as the entire system are tested for execution of the requirements identified during the analysis stage. i.e. Main output ",1,2,1.5,0.6553394198,3.276697099
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",4,5,4.5,0.52213341,2.61066705
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",5,5,5,0.5197145939,2.598572969
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.,3,4,3.5,0.6917709708,3.458854854
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:  Encapsulation- Objects combine data and operations.  Inheritance- Classes can inherit properties from other classes.  Polymorphism- Objects can determine appropriate operations at execution time.,2,3,2.5,0.5661627054,2.830813527
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.,3,4,3.5,0.645447433,3.227237165
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,1,1,1,0.5878318548,2.939159274
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",4,4,4,0.6732721329,3.366360664
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Encapsulation-objects combine data and operations Inheritance- classes can inherit properties from other classes Polymorphism- Objects can determine appropriate operations at execution time,2,3,2.5,0.5430562496,2.715281248
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,#NAME?,3,3,3,0.3181909621,1.59095481
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Re-usability  and ease of maintenance,3,5,4,0.6123535037,3.061767519
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.   Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.   Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism. ",5,5,5,0.5140953064,2.570476532
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be reused, and program maintenance and verification are easier.",3,4,3.5,0.6985684633,3.492842317
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Using different modules allows for easier debugging,2,2,2,0.5205959082,2.602979541
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Data encapsulation concept,the use of functions or methods to manipulate data.",3,4,3.5,0.701872468,3.50936234
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",5,4,4.5,0.7296790481,3.64839524
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.  Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",5,5,5,0.5186870694,2.593435347
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",4,5,4.5,0.6362797618,3.181398809
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Data Abstraction and control... it is possible to isolate elements from other elements a lot easier and prevent tampering of data.,3,4,3.5,0.6948712468,3.474356234
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Encapsulation - Objects use operations without knowing how the operation works. Inheritance - cuts redundancy by reusing earlier classes. Polymorphism - objects select the correct operation to use in the situation.,5,3,4,0.5932584405,2.966292202
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes.",5,4,4.5,0.5322552919,2.66127646
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be reused, Program maintenance and verification are easier ",3,4,3.5,0.6679275036,3.339637518
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be feused, Program maintenance and verification are easier",3,4,3.5,0.6645662785,3.322831392
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",5,5,5,0.7414820194,3.707410097
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Existing classes can be reused Program maintenance and verifications are easy,3,5,4,0.598951757,2.994758785
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,1- Existing classes can be reused 2- Program maintenance and verification are easier,3,4,3.5,0.5531515479,2.76575774
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,Information can be hidden. It is easier to debug. Programming is easier and more manageable.,3,4,3.5,0.606569767,3.032848835
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing classes can be reused, program maintenance and verification are   easier.",3,4,3.5,0.6985684633,3.492842317
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,existing classes can be reused program maintenance and verification are easier,3,4,3.5,0.5637227893,2.818613946
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class. ",3,4,3.5,0.4834211469,2.417105734
Where do C++ programs begin to execute?,At the main function.,At function ‘int main ()’,5,5,5,0.6041632295,3.020816147
Where do C++ programs begin to execute?,At the main function.,the Function main().,5,5,5,0.5877001882,2.938500941
Where do C++ programs begin to execute?,At the main function.,c++ programs begin to execute in the main method.,5,5,5,0.5831342936,2.915671468
Where do C++ programs begin to execute?,At the main function.,A C++ program will begin to execute at the main() function.,5,5,5,0.7024938464,3.512469232
Where do C++ programs begin to execute?,At the main function.,They begin in the main() function.,5,5,5,0.665694654,3.32847327
Where do C++ programs begin to execute?,At the main function.,Int main(),5,5,5,0.595526278,2.97763139
Where do C++ programs begin to execute?,At the main function.,main method,5,5,5,0.4667511582,2.333755791
Where do C++ programs begin to execute?,At the main function.,in the testing phase,0,0,0,0.3376741111,1.688370556
Where do C++ programs begin to execute?,At the main function.,#NAME?,5,5,5,0.3181909621,1.59095481
Where do C++ programs begin to execute?,At the main function.,main,5,5,5,0.3964166939,1.98208347
Where do C++ programs begin to execute?,At the main function.,They begin to execute at the funcion main().,5,5,5,0.6957847476,3.478923738
Where do C++ programs begin to execute?,At the main function.,The main method.,5,5,5,0.7803202868,3.901601434
Where do C++ programs begin to execute?,At the main function.,At the root,0,5,2.5,0.522275269,2.611376345
Where do C++ programs begin to execute?,At the main function.,In the main() function.,5,5,5,0.781375885,3.906879425
Where do C++ programs begin to execute?,At the main function.,C++ programs begin execution at main.,5,5,5,0.6431779265,3.215889633
Where do C++ programs begin to execute?,At the main function.,In the Main function..?,5,5,5,0.7653099298,3.826549649
Where do C++ programs begin to execute?,At the main function.,"At the ""main()"" function",5,5,5,0.6112719774,3.056359887
Where do C++ programs begin to execute?,At the main function.,The main function.,5,5,5,0.8151822686,4.075911343
Where do C++ programs begin to execute?,At the main function.,The function main,5,5,5,0.5739898086,2.869949043
Where do C++ programs begin to execute?,At the main function.,"After loading the required include statements and libraries, the main method begins the execution.",5,5,5,0.5501353145,2.750676572
Where do C++ programs begin to execute?,At the main function.,main function,5,5,5,0.5143869519,2.57193476
Where do C++ programs begin to execute?,At the main function.,main,5,5,5,0.3964166939,1.98208347
Where do C++ programs begin to execute?,At the main function.,C++ programs begin execution at the main function.,5,5,5,0.6575638652,3.287819326
Where do C++ programs begin to execute?,At the main function.,At main,5,5,5,0.5130457282,2.565228641
Where do C++ programs begin to execute?,At the main function.,they beging to excute at main,5,5,5,0.4633690417,2.316845208
Where do C++ programs begin to execute?,At the main function.,at the main function  int main() {},5,5,5,0.4704859555,2.352429777
Where do C++ programs begin to execute?,At the main function.,C++ programs begin execution at the main function.,5,5,5,0.6575638652,3.287819326
Where do C++ programs begin to execute?,At the main function.,"in the ""main"" function",5,5,5,0.5535636544,2.767818272
Where do C++ programs begin to execute?,At the main function.,Within the main function,5,5,5,0.6805025935,3.402512968
What is a variable?,A location in memory that can store a value.,Variable can be a integer or a string in a program.,1,3,2,0.7359457612,3.679728806
What is a variable?,A location in memory that can store a value.,"In programming, a structure that holds data and is uniquely named by the programmer. It holds the data assigned to it until a new value is assigned or the program is finished. ",4,5,4.5,0.6908254027,3.454127014
What is a variable?,A location in memory that can store a value.,A variable is a location in memory where a value can be stored.,5,5,5,0.9363100529,4.681550264
What is a variable?,A location in memory that can store a value.," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",5,5,5,0.8151785731,4.075892866
What is a variable?,A location in memory that can store a value.,"A variable is a location in the computer's memory where a value can be stored for use by a program. Each variable has a name, a value, a type and a size.",5,5,5,0.7876695395,3.938347697
What is a variable?,A location in memory that can store a value.,A named object that can hold a numerical or letter value,2,5,3.5,0.673886776,3.36943388
What is a variable?,A location in memory that can store a value.,"It's a sybol or name for a value/number. Example: 'a_used_number' can stand for any given number, and the programmer can refer to that number by using the variable name.",3,5,4,0.6587415338,3.293707669
What is a variable?,A location in memory that can store a value.,A variable is a location in the computers memory where a value can be stored for use by a program,5,5,5,0.7798449397,3.899224699
What is a variable?,A location in memory that can store a value.,#NAME?,3,5,4,0.3181909621,1.59095481
What is a variable?,A location in memory that can store a value.,a block of memory that holds a specific type of data,5,5,5,0.5979560614,2.989780307
What is a variable?,A location in memory that can store a value.,It is a location in the computer's memory where it can be stored for use by a program.,5,5,5,0.7113444209,3.556722105
What is a variable?,A location in memory that can store a value.,A location in memory where value can be stored.,5,5,5,0.9363100529,4.681550264
What is a variable?,A location in memory that can store a value.,a value/word that can assume any of a set of values,3,3,3,0.6385176778,3.192588389
What is a variable?,A location in memory that can store a value.,A pointer to a location in memory.,3,5,4,0.8979153633,4.489576817
What is a variable?,A location in memory that can store a value.,"A variable is the memory address for a specific type of stored data, or from a mathematical perspective, a symbol representing a fixed definition with changing values.",5,5,5,0.7508098483,3.754049242
What is a variable?,A location in memory that can store a value.,A variable is a value that is subject to change in a computer's memory that can be used by programs.  Programs can change the value of the variable and recall it later or act on it directly.,5,5,5,0.7200698256,3.600349128
What is a variable?,A location in memory that can store a value.,a symbol that stands in for a value that may or may not change depending on the program.,3,5,4,0.6633964777,3.316982388
What is a variable?,A location in memory that can store a value.,"a placeholder to hold information used in the program... for example: int can hold: 1, 2, 3, 4, 68, 72, 256, etc. float can hold: 1.54, 55.55, 1.24, 5.657, 8.8123, et. char can hold: A, B, C, D, E, F, !, 4, 5, 6, P, etc. ",4,5,4.5,0.3709045053,1.854522526
What is a variable?,A location in memory that can store a value.,a stored value used by the program,4,5,4.5,0.6040447354,3.020223677
What is a variable?,A location in memory that can store a value.,"A way to store different values into the program, such as numbers, words, letters, etc.",4,5,4.5,0.6460156441,3.23007822
What is a variable?,A location in memory that can store a value.,An object with a location in memory where value can be stored,2,5,3.5,0.7295505404,3.647752702
What is a variable?,A location in memory that can store a value.,location in memory where a value can be stored,5,5,5,0.6497761011,3.248880506
What is a variable?,A location in memory that can store a value.,a variable is an object where data is stored.,2,5,3.5,0.8000083566,4.000041783
What is a variable?,A location in memory that can store a value.,Location in memory where a value can be stored.,5,5,5,0.8890048265,4.445024133
What is a variable?,A location in memory that can store a value.,it is a location in memory where value can be stored,5,5,5,0.6497761011,3.248880506
What is a variable?,A location in memory that can store a value.,A variable is the location in a computer's memory where a value can be stored for use by a program.,5,5,5,0.8239207864,4.119603932
What is a variable?,A location in memory that can store a value.,A variable is a location in a computers memory where a value can be stored   for use by a program.,5,5,5,0.8374111652,4.187055826
What is a variable?,A location in memory that can store a value.,a location in memory where data can be stored and retrieved,5,5,5,0.6208735108,3.104367554
What is a variable?,A location in memory that can store a value.,"Is a method or identifier I would say,  we use to bind a data object to memory location; which is then stored in a location that can be accessed when and manipulated later when the variable name is called. ",5,5,5,0.7616599202,3.808299601
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"They can be declared right before they are used, but it is a good practice to declare them at the beginning of the program and label what they are food.",1,3,2,0.6532231569,3.266115785
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),In the Function main() before using the variable.,1,5,3,0.6790940762,3.395470381
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"Local variables are declared inside the method or function they will be used in at the beginning of the method. Global variables are declared outside of any function or method, generally before functions are defined.",5,5,5,0.800727427,4.003637135
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Variables are declared where ever it is defined either inside a block locally or outside a block globally.,4,5,4.5,0.8080464602,4.040232301
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Variables are declared before they are actually used. They can be declared before main() to use globally,3,5,4,0.7754654288,3.877327144
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"For good programing practice they should be declared before main(), but should at least be declared before they are used.",2,3,2.5,0.7264049649,3.632024825
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"They can be declared globally just before the main method (but also outside of it)... or variables can be subject to only the method they're scoped within, but would still be declared at the beginning of that method (but inside of it).",5,5,5,0.7970539331,3.985269666
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),local variables are declared inside the method while global variables are declared in the body.,5,5,5,0.7489204407,3.744602203
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),#NAME?,1,3,2,0.3181909621,1.59095481
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"Globally for an entire program, and locally for individual functions (including FOR statements)",4,5,4.5,0.7501114011,3.750557005
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),They are usually declared at the beginning before they can be used in the program. They always contain a name and a data type.,2,4,3,0.72852844,3.6426422
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Inside the method.,2,3,2.5,0.6630700231,3.315350115
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),at the top,1,2,1.5,0.286613673,1.433068365
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.,5,5,5,0.7858153582,3.929076791
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Variables are usually declared at the beginning of a module of C++ code.,2,3,2.5,0.6915459037,3.457729518
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"In the main function, usually at the top of code.  They can be declared almost anywhere, but must be declared before the code can use or act upon them.",3,4,3.5,0.7664206028,3.832103014
Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),in the very beginning of the program. Before the main() starts.,1,3,2,0.6450572014,3.225286007
